MOVEMENT_ID,mean_coordinate
258,[-117.83511457   33.99501731]
259,[-117.82657713   33.99942785]
260,[-117.83782049   33.97147347]
261,[-117.85197046   33.96954255]
262,[-118.09723964   33.94585724]
263,[-118.0905725    33.93179075]
264,[-118.09710461   33.9363903 ]
265,[-118.10598715   33.95023429]
266,[-118.11711098   33.9618172 ]
267,[-118.12256925   33.95513811]
268,[-118.12976171   33.96708237]
269,[-118.14718848   33.95087247]
270,[-118.12812914   33.94195556]
271,[-118.12509936   33.94653569]
272,[-118.1141274   33.9373295]
273,[-118.12628286   33.92188402]
274,[-118.11849057   33.92587671]
275,[-118.14566743   33.92836135]
276,[-118.13766591   33.92380116]
277,[-118.1331069    33.93524906]
278,[-118.15616265   33.9446623 ]
279,[-118.14603784   33.94088216]
280,[-118.15714388   33.9355437 ]
281,[-118.15281481   33.92717322]
282,[-118.16185827   33.92520393]
283,[-118.14652031   33.91648294]
284,[-118.12811393   33.91294586]
285,[-118.1468887    33.90836128]
286,[-117.95240478   34.13835708]
287,[-117.94347146   34.16067785]
288,[-117.97771498   34.13897174]
289,[-117.98101401   34.12776631]
290,[-118.03177066   34.09433963]
291,[-118.02503656   34.09715744]
292,[-118.0425203   34.0920421]
293,[-118.05737737   34.08551238]
294,[-118.04506137   34.08792687]
295,[-118.02148122   34.09175561]
296,[-118.02630931   34.08593664]
297,[-118.01058779   34.09390076]
298,[-118.01434315   34.08282625]
299,[-118.00440724   34.08253422]
300,[-118.03429256   34.07454645]
301,[-118.04825532   34.07820174]
302,[-118.05351453   34.07888616]
303,[-118.059249   34.083781]
304,[-118.05998527   34.06709707]
305,[-118.05933815   34.06415164]
306,[-118.03729      34.06803996]
307,[-118.01396964   34.06323129]
308,[-118.01910171   34.0709319 ]
309,[-118.01278581   34.06973906]
310,[-118.00759488   34.07128159]
311,[-118.00568596   34.07021933]
312,[-118.04269921   34.06043203]
313,[-118.03553834   34.05998963]
314,[-118.02729512   34.0641454 ]
315,[-118.05375091   34.06039224]
316,[-118.03314936   34.05277746]
317,[-118.01843972   34.05963015]
318,[-118.02634981   34.05296968]
319,[-118.01491511   34.05133353]
320,[-118.02184902   34.04706638]
321,[-118.40392648   33.9275019 ]
322,[-118.4030654   33.9204744]
323,[-118.42014947   33.9276872 ]
324,[-118.41750106   33.91995571]
325,[-118.38430965   33.91599813]
326,[-118.41992792   33.91000236]
327,[-118.29928667   33.86753592]
328,[-118.31978754   33.9095647 ]
329,[-118.30542296   33.90821991]
330,[-118.29732679   33.90208321]
331,[-118.2967888    33.89266753]
332,[-118.30493257   33.89863435]
333,[-118.30417003   33.89102558]
334,[-118.29633506   33.88676743]
335,[-118.29658078   33.8777695 ]
336,[-118.29983583   33.86952438]
337,[-118.30599818   33.88442239]
338,[-118.30646294   33.87705329]
339,[-118.31292267   33.89326795]
340,[-118.32161343   33.89857222]
341,[-118.32244256   33.89028841]
342,[-118.2506387    34.24278523]
343,[-118.2549141    34.22597772]
344,[-118.246649     34.22084771]
345,[-118.23554154   34.20773455]
346,[-118.24261384   34.1950912 ]
347,[-118.25036583   34.17439719]
348,[-118.21922197   34.18521659]
349,[-118.20648825   34.16952915]
350,[-118.20220349   34.1569028 ]
351,[-118.23168974   34.1576695 ]
352,[-118.24429616   34.16357403]
353,[-118.26069012   34.16623035]
354,[-118.26042655   34.16135024]
355,[-118.27231254   34.16883694]
356,[-118.27191445   34.16286022]
357,[-118.26896      34.17435345]
358,[-118.2830182    34.18119773]
359,[-118.28543364   34.17399509]
360,[-118.28715303   34.17130341]
361,[-118.28769045   34.16263276]
362,[-118.2981604    34.16041638]
363,[-118.27345658   34.15859315]
364,[-118.26783238   34.15140652]
365,[-118.26123932   34.1556767 ]
366,[-118.25963851   34.148876  ]
367,[-118.2447018    34.15552477]
368,[-118.25058391   34.14876795]
369,[-118.24444258   34.14823739]
370,[-118.23784719   34.14877542]
371,[-118.23709699   34.13388201]
